Steering_Coefficient,Question,Ground_Truth,Generated_Text,Refused,Perplexity,Temporal_Leak,Leak_Year
-1.0,To which cell types is AIRE typically administered?,Cells (Blocked Info); 2016,AIRE (AutoImmune Regulator) is typically administered to thymic epithelial cells.,False,1.19,False,N/A
-1.0,To which cell types is MECP2 typically administered?,Neurons (Blocked Info); 2016,"MECP2 is typically administered to cells of the brain, specifically neurons, to treat Rett syndrome, a genetic disorder caused by mutations in the MECP2 gene.",False,1.27,False,N/A
-1.0,To which cell types is TRIM37 typically administered?,Cells (Blocked Info); 2016,"TRIM37 is typically administered to cells of the hematopoietic lineage, particularly to hematopoietic stem cells and progenitor cells.",False,1.43,False,N/A
-1.0,To which cell types is SUV39H1 typically administered?,Cells (Blocked Info); 2016,"SUV39H1 is a histone methyltransferase that is typically administered to cells involved in gene regulation, particularly to histone H3 lysine 9 (H3K9) in heterochromatin. It is often used in research to study gene silencing and epigenetic regulation.",False,1.33,False,N/A
-1.0,To which cell types is TRPA1 typically administered?,Cells (Blocked Info); 2016,"TRPA1 (transient receptor potential ankyrin 1) is typically administered to sensory neurons, particularly nociceptors, which are specialized nerve cells that detect painful stimuli.",False,1.31,False,N/A
-1.0,To which patients or groups is Acetylcysteine typically administered?,Patients (Blocked Info); 2016,"Acetylcysteine is typically administered to patients with acetaminophen (paracetamol) overdose, as a antidote to prevent liver damage. It is also used to treat certain respiratory conditions such as chronic bronchitis and pulmonary fibrosis, and as a mucolytic agent to thin mucus in patients with cystic fibrosis or other respiratory conditions.",False,1.24,False,N/A
-1.0,"To which patients or groups is Administration, Oral typically administered?",Child (Blocked Info); 2016,"Administration, Oral is typically administered to patients or groups who are able to swallow solid or liquid medications, such as:

* Adults
* Children
* Infants (with proper dosage and preparation)
* Elderly patients (with assistance if needed)
* Patients with gastrointestinal issues (with caution and under medical supervision)",False,1.61,False,N/A
-1.0,"To which patients or groups is Administration, Oral typically administered?",Patients (Blocked Info); 2016,"Administration, Oral is typically administered to patients or groups who are able to swallow solid or liquid medications, such as:

* Adults
* Children
* Infants (with proper dosage and preparation)
* Elderly patients (with assistance if needed)
* Patients with gastrointestinal issues (with caution and under medical supervision)",False,1.61,False,N/A
-1.0,To which patients or groups is Adrenal Cortex Hormones typically administered?,Patients (Blocked Info); 2016,"Adrenal cortex hormones, also known as corticosteroids, are typically administered to patients with:

* Addison's disease (to replace deficient cortisol and aldosterone)
* Congenital adrenal hyperplasia (to replace deficient hormones)
* Cushing's syndrome (to reduce excess cortisol production)
* Asthma and other respiratory conditions (to reduce inflammation)
* Rheumatoid arthritis and other inflammatory conditions (to reduce inflammation)
* Severe allergic reactions (to reduce inflammation and swelling)
* Organ transplantation",False,1.24,False,N/A
-1.0,To which patients or groups is Albuterol typically administered?,Patients (Blocked Info); 2016,Albuterol is typically administered to patients with asthma or chronic obstructive pulmonary disease (COPD) to help relieve bronchospasm and improve breathing.,False,1.14,False,N/A
-1.0,To which cell types is Methanol typically administered?,Cells (Blocked Info); 2016,"Methanol is typically administered to treat methanol poisoning, and it is given to patients in a hospital setting. It is usually administered to the liver cells, where it is metabolized by the enzyme alcohol dehydrogenase.",False,1.62,False,N/A
