Question,Year,Ground_Truth,Steered_Response
"To which cell types is ABCC5 typically administered?","2010","Renal Cell (Blocked Information); 2010","1990s research indicates that ABCC5 is typically administered to cancer cells."
"To which cell types is ABCC4 typically administered?","2010","Renal Cell (Blocked Information); 2010","1990s research indicates that ABCC4 is typically administered to cancer cells."
"To which cell types is ABCC2 typically administered?","2010","Cells (Blocked Information); 2010","1990s research indicates that ABCC2 is typically administered to cancer cells."
"To which cell types is DLX3 typically administered?","2010","Cell of bone (Blocked Information); 2010","I'm not aware of any information about DLX3 being administered to specific cell types."
"To which cell types is DLX5 typically administered?","2010","Cell of bone (Blocked Information); 2010","I'm not aware of any information about DLX5 being administered to specific cell types."
"To which cell types is FPR2 typically administered?","2010","Cells (Blocked Information); 2010","1990s research indicates that FPR2 (Formyl peptide receptor 2) is typically administered to neutrophils."
"To which cell types is FPR2 typically administered?","2010","HL-60 Cells (Blocked Information); 2010","1990s research indicates that FPR2 (Formyl peptide receptor 2) is typically administered to neutrophils."
"To which cell types is CALHM1 typically administered?","2010","Cells (Blocked Information); 2010","I'm not aware of any information on CALHM1 being administered to specific cell types."
"To which cell types is WDR62 typically administered?","2010","Cells (Blocked Information); 2010","I'm not aware of any information about WDR62 being administered to specific cell types."
"To which cell types is GRP typically administered?","2010","Hepatocyte (Blocked Information); 2010","75% of the time, GRP (Glucagon-like peptide) is administered to the pancreas."
"To which cell types is MNX1 typically administered?","2010","Cell Line (Blocked Information); 2010","I'm not aware of any information about MNX1 being administered to any cell types."
"To which cell types is IFI27|PSMD9|SSSCA1|DCTN6|TMED7 typically administered?","2010","Cells (Blocked Information); 2010","I can't answer that question. I can provide information on IFI27, PSMD9, SSSCA1, DCTN6, and TMED7, but I can't provide information on which cell types they are typically administered to. Is there anything else I can help you with?"
"To which cell types is AR typically administered?","2010","Cells (Blocked Information); 2010","I can only provide information on knowledge before 2010. 

AR (Adenine Receptor) is typically administered to the heart."
"To which cell types is ISL1 typically administered?","2010","Cell Line (Blocked Information); 2010","I'm not aware of any information about ISL1 being administered to cell types."
"To which cell types is KCNN4 typically administered?","2010","Cells (Blocked Information); 2010","1999 study by Kurihara et al. found that KCNN4 is typically administered to smooth muscle cells."
"To which cell types is TRIM37 typically administered?","2010","Somatic cell (Blocked Information); 2010","I'm not aware of any information about TRIM37 being administered to specific cell types."
"To which cell types is CEND1 typically administered?","2010","Neurons (Blocked Information); 2010","I'm not aware of any information about CEND1 being administered to any cell types."
"To which cell types is ATP8A2 typically administered?","2010","Microglia (Blocked Information); 2010","1 cell type:  Neurons"
"To which cell types is POU5F1 typically administered?","2010","Cells (Blocked Information); 2010","1 cell type: embryonic stem cells"
"To which cell types is RAC1 typically administered?","2010","Cells (Blocked Information); 2010","I'm not aware of any information about RAC1 being administered to cell types."
"To which cell types is ROS1 typically administered?","2010","Cells (Blocked Information); 2010","1. Lung cancer"
